,Sentiment,Tweet,URL,Time,Sentiment Scores
66,Neutral,Spoke with Saudi Crown Prince Mohammed bin Salman Al Saud regarding the coronavirus and we agreed all countries need to wor,https://twitter.com/statuses/1245095718894723072,2020-03-31 21:08:46,"Sentiment(polarity=0.0, subjectivity=0.0)"
67,Negative,For people who asked Mere Hero Ne kya Kiya SalmanKhan,https://twitter.com/statuses/1245095651840602113,2020-03-31 21:08:30,"Sentiment(polarity=-0.5, subjectivity=0.5)"
68,Neutral,has lost his dearest nephew AbdullahKhan SalmanKhanNephewDemise RIPAbdullahKhan,https://twitter.com/statuses/1245095170690826240,2020-03-31 21:06:36,"Sentiment(polarity=0.0, subjectivity=0.0)"
69,Neutral,Former PM Shahid Khaqan Abbasi is saying Imran Khan k liyay sabse behtar hai k apna mou band rakha karay Now this is som,https://twitter.com/statuses/1245094889429307394,2020-03-31 21:05:29,"Sentiment(polarity=0.0, subjectivity=0.0)"
70,Neutral,bachuuuuu boutta come outta quarantine stronger than salman khan mashallah,https://twitter.com/statuses/1245094782516551681,2020-03-31 21:05:03,"Sentiment(polarity=0.0, subjectivity=0.0)"
71,Neutral,Been days since i last opened ig and saw salman doing the 3roob face feel like my day aint complete,https://twitter.com/statuses/1245094624932384768,2020-03-31 21:04:25,"Sentiment(polarity=0.05, subjectivity=0.23333333333333334)"
72,Positive,I cant believe what he is saying Toby when this is all over I think you better give Salman a call t,https://twitter.com/statuses/1245094611229573121,2020-03-31 21:04:22,"Sentiment(polarity=0.5, subjectivity=0.5)"
73,Neutral,As directed by King Salman to the Ministry of Health when you feel symptoms of corona high fever shortness of b,https://twitter.com/statuses/1245094392387559426,2020-03-31 21:03:30,"Sentiment(polarity=0.16, subjectivity=0.5399999999999999)"
74,Negative,For too long these gallam galouch gangs has haunted everyone Now is the time to strike back,https://twitter.com/statuses/1245094338494894080,2020-03-31 21:03:17,"Sentiment(polarity=-0.025, subjectivity=0.2)"
75,Negative,23 Wrong devo want limelight u guys can go lickher ass but me being true sid,https://twitter.com/statuses/1245094285462122496,2020-03-31 21:03:05,"Sentiment(polarity=-0.07500000000000001, subjectivity=0.775)"
76,Positive,Maybe you love because they drove a Sherman tank thru downtown Harrisburg or got Salman Rushdie AND,https://twitter.com/statuses/1245094146106327044,2020-03-31 21:02:31,"Sentiment(polarity=0.5, subjectivity=0.6)"
77,Positive,Mohammed Bin Salman Al Saud has done more thisncountry and soxiety than anyone else and we are moving forward o,https://twitter.com/statuses/1245093879923253248,2020-03-31 21:01:28,"Sentiment(polarity=0.5, subjectivity=0.5)"
78,Positive,Salman Khan mourned the demise of his nephew and shared an old picture posing with Abdullah He wrote Will always love y,https://twitter.com/statuses/1245093581167169542,2020-03-31 21:00:17,"Sentiment(polarity=0.3, subjectivity=0.4)"
79,Neutral,Salman Khan mourned the demise of his nephew and shared an old picture posing with Abdullah He wrote Will always,https://twitter.com/statuses/1245093510857895938,2020-03-31 21:00:00,"Sentiment(polarity=0.1, subjectivity=0.2)"
80,Neutral,If you are in UK and under coronavirus lockdown with an abusive partner dial 999 wait to be connected press 55 amp hang up,https://twitter.com/statuses/1245093435528314883,2020-03-31 20:59:42,"Sentiment(polarity=0.0, subjectivity=0.0)"
81,Neutral,The difference between amp others is that SALMAN never ever makes noise when he s doing charity others,https://twitter.com/statuses/1245093307576987656,2020-03-31 20:59:11,"Sentiment(polarity=0.0, subjectivity=0.0)"
82,Neutral,Follow him and get follow back snaps,https://twitter.com/statuses/1245093112684347392,2020-03-31 20:58:25,"Sentiment(polarity=0.0, subjectivity=0.0)"
83,Neutral,No words for THE SALMAN KHAN Stardom level,https://twitter.com/statuses/1245093106745135105,2020-03-31 20:58:24,"Sentiment(polarity=0.0, subjectivity=0.0)"
84,Neutral,Tell daddy The stock market crash was caused by Donald Trump s besties Vladimir Putin and Moham,https://twitter.com/statuses/1245093003078877186,2020-03-31 20:57:59,"Sentiment(polarity=0.0, subjectivity=0.0)"
85,Positive,I had the best time getting to know Salman and learning about his endeavors with Rave Scout Cookies,https://twitter.com/statuses/1245092887836196866,2020-03-31 20:57:31,"Sentiment(polarity=1.0, subjectivity=0.3)"
86,Positive,Asad Salman we all love you ALLAH Blessed you and your family,https://twitter.com/statuses/1245092836950900736,2020-03-31 20:57:19,"Sentiment(polarity=0.5, subjectivity=0.6)"
87,Neutral,2078 Salman Alnaaim is inviting you to a scheduled Zoom meeting Topic Financial Success Introduction Time Apr 2 2020 08 00,https://twitter.com/statuses/1245092747142410244,2020-03-31 20:56:58,"Sentiment(polarity=0.15, subjectivity=0.0)"
88,Neutral,stayvibrant Had the absolute pleasure of talking with Salman Jaberi the creator and founder of Rave Scout Cookies An org that is tr,https://twitter.com/statuses/1245092738321788928,2020-03-31 20:56:56,"Sentiment(polarity=0.2, subjectivity=0.9)"
89,Neutral,Saudi Government opens Holy Kaaba for Tawaf,https://twitter.com/statuses/1245092717350268929,2020-03-31 20:56:51,"Sentiment(polarity=0.0, subjectivity=0.0)"
90,Neutral,Had the absolute pleasure of talking with Salman Jaberi the creator and founder of Rave Scout Cookies An org that,https://twitter.com/statuses/1245092661410832386,2020-03-31 20:56:37,"Sentiment(polarity=0.2, subjectivity=0.9)"
91,Neutral,23 This all mess is the result of your positive 23 who is not conc,https://twitter.com/statuses/1245092260972122112,2020-03-31 20:55:02,"Sentiment(polarity=0.026136363636363638, subjectivity=0.36022727272727273)"
92,Negative,heart2019 Miss the one ounce of positivity for you which i felt due to SidRa fandom is vanished as soon as you,https://twitter.com/statuses/1245092091161497600,2020-03-31 20:54:21,"Sentiment(polarity=-0.125, subjectivity=0.375)"
93,Positive,dun Many important lessons to be learnt from Saudi Arabia and HM King Salman True humanity Action not jus,https://twitter.com/statuses/1245091765620793345,2020-03-31 20:53:04,"Sentiment(polarity=0.3375, subjectivity=0.5625)"
94,Neutral,I think if you have money you should use it to save life I feel what we are doing is just a drop in the ocean Salman K,https://twitter.com/statuses/1245091689909211136,2020-03-31 20:52:46,"Sentiment(polarity=0.0, subjectivity=0.0)"
95,Neutral,Salman Khan my thought for Being Human right from the beginning was that the citizens of this country should never have,https://twitter.com/statuses/1245091657516638208,2020-03-31 20:52:38,"Sentiment(polarity=0.14285714285714285, subjectivity=0.31785714285714284)"
96,Neutral,Salman Khan Means Being Human His Heart Is Bigger Than His Biceps Love You BeingConsistentIs,https://twitter.com/statuses/1245091613723873280,2020-03-31 20:52:28,"Sentiment(polarity=0.16666666666666666, subjectivity=0.39999999999999997)"
97,Neutral,If money can save life I will provide it Salman Khan BeingConsistentIsBeingHuman,https://twitter.com/statuses/1245091555083337728,2020-03-31 20:52:14,"Sentiment(polarity=0.0, subjectivity=0.0)"
98,Positive,If You Love Me Let Me Know,https://twitter.com/statuses/1245091283623972865,2020-03-31 20:51:09,"Sentiment(polarity=0.5, subjectivity=0.6)"
99,Neutral,Shaq will 1000 be me as a parent,https://twitter.com/statuses/1245091259263275009,2020-03-31 20:51:03,"Sentiment(polarity=0.0, subjectivity=0.0)"
100,Neutral,Just because Akshay Kumar donated money we shouldn t expect Salman Khan do the same immediately Salman will definitely don,https://twitter.com/statuses/1245091256780197888,2020-03-31 20:51:02,"Sentiment(polarity=0.0, subjectivity=0.3125)"
